Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry		12,852 K	89,980 K	148		
System Idle Process	99.53	60 K	8 K	0		
System	< 0.01	192 K	108 K	4		
 Interrupts	< 0.01	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,148 K	1,244 K	532		
 Memory Compression		40 K	0 K	2468		
csrss.exe	< 0.01	2,356 K	5,968 K	724		
wininit.exe		1,512 K	7,300 K	808		
 services.exe		5,596 K	10,904 K	100		
  svchost.exe		10,664 K	27,224 K	988	Host Process for Windows Services	Microsoft Corporation
   dllhost.exe		3,496 K	11,896 K	5996	COM Surrogate	Microsoft Corporation
   WmiPrvSE.exe		4,620 K	14,756 K	6660	WMI Provider Host	Microsoft Corporation
   StartMenuExperienceHost.exe		26,088 K	77,612 K	8212		
   RuntimeBroker.exe		6,300 K	27,568 K	8620	Runtime Broker	Microsoft Corporation
   SearchApp.exe	Suspended	139,776 K	220,060 K	8904	Search application	Microsoft Corporation
   RuntimeBroker.exe		7,148 K	29,588 K	9116	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		6,996 K	27,380 K	8752	Runtime Broker	Microsoft Corporation
   PhoneExperienceHost.exe		56,896 K	168,580 K	9508	Microsoft Phone Link	Microsoft Corporation
   TextInputHost.exe		16,600 K	52,392 K	3976		Microsoft Corporation
   UserOOBEBroker.exe		1,972 K	9,696 K	4388	User OOBE Broker	Microsoft Corporation
   smartscreen.exe		9,576 K	27,140 K	2724	Windows Defender SmartScreen	Microsoft Corporation
   CompPkgSrv.exe		1,720 K	9,108 K	5552	Component Package Support Server	Microsoft Corporation
   backgroundTaskHost.exe	Suspended	16,564 K	37,464 K	9596	Background Task Host	Microsoft Corporation
   RuntimeBroker.exe		3,356 K	18,484 K	10840	Runtime Broker	Microsoft Corporation
  svchost.exe	< 0.01	7,484 K	15,176 K	1100	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,728 K	10,792 K	1148	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,792 K	12,376 K	1252	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,292 K	5,792 K	1308	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		17,100 K	20,564 K	1412	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,224 K	12,392 K	1452	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,144 K	10,088 K	1460	Host Process for Windows Services	Microsoft Corporation
  IntelCpHDCPSvc.exe		1,392 K	7,532 K	1572	Intel HD Graphics Drivers for Windows(R)	Intel Corporation
  svchost.exe		1,580 K	6,788 K	1588	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,108 K	8,068 K	1604	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,660 K	11,504 K	1664	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		6,388 K	15,824 K	1708	Host Process for Windows Services	Microsoft Corporation
   taskhostw.exe	< 0.01	7,736 K	17,460 K	7736	Windows 작업을 위한 호스트 프로세스	Microsoft Corporation
  svchost.exe		4,864 K	9,360 K	1744	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,460 K	14,272 K	1880	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,892 K	8,504 K	1888	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,844 K	8,564 K	1904	Host Process for Windows Services	Microsoft Corporation
  IntelCpHeciSvc.exe		1,512 K	7,468 K	1920	IntelCpHeciSvc Executable	Intel Corporation
  igfxCUIService.exe		1,872 K	9,392 K	2004	igfxCUIService Module	Intel Corporation
   igfxEM.exe		3,664 K	14,376 K	7008	igfxEM Module	Intel Corporation
  svchost.exe		2,720 K	10,176 K	1348	Host Process for Windows Services	Microsoft Corporation
   sihost.exe		6,468 K	29,872 K	6896	Shell Infrastructure Host	Microsoft Corporation
  svchost.exe		1,660 K	8,416 K	1732	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,312 K	12,736 K	2184	Host Process for Windows Services	Microsoft Corporation
